https://www.ctcrash.uconn.edu/QueryTool2.action?qid=215822
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"1360016","1","1","Vehicle in Operation","1","Buick","2009","2009","Lacrosse Cxl","Red","E","Eastbound","false","42","Traffic Sign Support","2","Negotiating a Curve","0","None","88","Not Applicable","35","2","Towed But not Due to Disabling Damage","5","One-Way Trafficway","2","2","Curve Left","2","Uphill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","2","Negotiating a Curve","0","None","2G4WD582991104338","3","Traffic Control Signal","2","Yes","8","Ran Off Roadway Right","42","Traffic Sign Support","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Southington","CT","","06489","","","A&M Auto Towing","false","false","Route 72 East","false","CT","false","false","1","Hartford Insurance Company of Midwest","","","","","","","","","","","","","","","","","","","","","","","",""
"1360024","1","1","Vehicle in Operation","1","Chevrolet","2015","2015","Equinox Lt Awd","Black","E","Eastbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","55","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","13","Stopped in Traffic","0","None","2GNFLFEK9F6202762","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Farmington","CT","","06032","","false","Central Auto","false","false","I-84","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360024","2","1","Vehicle in Operation","1","Polestar","2022","2022","2","Gray","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","55","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","LPSED3KA1NL075872","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bristol","CT","","06010","","false","N/A","false","false","I-84 ","false","CT","false","false","1","PROGRESSIVE","","","","","","","","","","","","","","","","","","","","","","","",""
"1360025","1","1","Vehicle in Operation","2","Mini","2014","2014","Cooper S","Blue","E","Eastbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","25","3","Not Towed","5","One-Way Trafficway","2","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","13","Stopped in Traffic","0","None","WMWXM7C51ET926400","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Southington","CT","","06489","","","n/a.","false","false","I-84 East","false","CT","false","false","1","Liberty Mutual Fire Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360025","2","1","Vehicle in Operation","2","Ford","2025","2025","F150 Lariat","Black","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","5","One-Way Trafficway","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","1FTFW5LDXSFB55742","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Berlin","CT","","06037","","","n/a.","false","false","I-84 East","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360026","1","1","Vehicle in Operation","2","Chevrolet","2024","2024","Silverado K1500 Zr2","Black","S","Southbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","0","None","88","Not Applicable","50","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","4","Changing Lanes","0","None","3GCUDHEL8RG376686","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Arlington","TX","UnitedStates","76014","","false","n/a.","false","false","I-91 South","false","CT","false","false","1","The Cincinnati CasualtyCompany","","","","","","","","","","","","","","","","","","","","","","","",""
"1360026","2","1","Vehicle in Operation","2","CADILLAC","2017","2017","CT6","BLACK","S","Southbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","0","None","88","Not Applicable","50","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","4","Changing Lanes","0","None","1G6KF5RS2HU201365","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Wantagh","NY","","11793","","false","n/a.","false","false","I-91 South","false","NY","false","false","1","STATE FARM","","","","","","","","","","","","","","","","","","","","2026-03-06","","","",""
"1360033","1","1","Vehicle in Operation","2","Toyota","2016","2016","Tacoma Dcsr/sr5/trds","Blue","S","Southbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","3","Curve Right","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","13","Stopped in Traffic","0","None","3TMCZ5AN2GM023426","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","BERLIN","CT","","06037","","false","","false","false","High rd","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","","","","",""
"1360033","2","1","Vehicle in Operation","1","Chevrolet","2011","2011","Silverado C1500","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","2","3","Curve Right","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","3","Functional Damage","5","Pick Up","1","Straight Ahead","0","None","1GCRCPEXXBZ404256","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Meriden","CT","","06450","","false","","false","false","High rd","false","CT","false","false","1","GECIO Secure Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360034","1","1","Vehicle in Operation","1","Hyundai","2009","2009","Sonata GLS","Gray","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","5","One-Way Trafficway","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","5NPET46C09H518891","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Middletown","CT","","06457","","false","","false","false","High St","false","CT","false","false","1","New South Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360034","2","1","Vehicle in Operation","1","Subaru","2017","2017","Wrx Limited","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","5","One-Way Trafficway","3","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","JF1VA1J67H8810174","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Middletown","CT","","06457","","false","","false","false","High St","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360035","1","1","Vehicle in Operation","1","Toyota","2012","2012","4runner Sr5/limited/","Black","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","JTEBU5JR8C5093229","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","EAST HARTFORD","CT","","06108","","false","","false","false","Walnut Street","false","CT","false","false","1","Safeco Insurance Company of Illinois","","","","","","","","","","","","","","","","","","","","","","","",""
"1360035","2","1","Vehicle in Operation","1","Honda","2018","2018","Hr-v Lx","Black","N","Northbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","13","Stopped in Traffic","0","None","3CZRU6H35JG710290","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Hartford","CT","","06108","","false","","false","false","Walnut Street","false","CT","false","false","1","Travelers","","","","","","","","","","","","","","","","","","","","","","","",""
"1360036","1","1","Vehicle in Operation","1","Toyota","2007","2007","Highlander","White","S","Southbound","false","22","Motor Vehicle In Motion","7","Turning Left","0","None","88","Not Applicable","88","3","Not Towed","5","One-Way Trafficway","0","3","Curve Right","2","Uphill","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","7","Turning Left","0","None","JTEGD21A170155619","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Hartford","CT","","06108","","false","","false","false","RAMP 91 RT 15 S ","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","2026-03-15","","","",""
"1360036","2","1","Vehicle in Operation","1","Freightliner","2022","2022","M2 106 Medium Duty","White","S","Southbound","false","22","Motor Vehicle In Motion","7","Turning Left","11","Mirrors","88","Not Applicable","88","3","Not Towed","5","One-Way Trafficway","0","3","Curve Right","2","Uphill","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","1","No Damage","18","Medium / Heavy Trucks (more than 10,000 lbs (4,536 kg))","7","Turning Left","11","Mirrors","3ALACWFC7NDNF1329","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Berlin","CT","","06037","","false","","false","false","RAMP 91 RT 15 S ","false","CT","false","false","1","TRANSGUARD INSURANCE COMPANY OF AMERICA","","TAIT TRANSPORTATION LLC","Berlin","CT","","06037    ","","","","","","","","","","","","","","2026-03-27","","","",""
"1360037","1","1","Vehicle in Operation","1","Nissan","2004","2004","Titan Xe/se/le","Gray","S","Southbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","99","Unknown","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","4","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","5","Pick Up","4","Changing Lanes","99","Unknown","1N6AA06A44N513761","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Hartford","CT","","06108","","false","Tolland Automotive","false","false","Main Street","false","CT","false","false","1","Nutmeg Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360037","2","1","Vehicle in Operation","1","Toyota","2015","2015","Venza Le/xle","Black","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","4","1","Straight","1","Level","3","Sector 3 (East) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","4T3BA3BB3FU067282","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","EAST HARTFORD","CT","","06108","","false","Dave's Automotive","false","false","Main Street","false","CT","false","false","1","State Farm","","","","","","","","","","","","","","","","","","","","","","","",""
"1360044","1","1","Vehicle in Operation","1","Volvo","2023","2023","Xc90 Plus","Gray","N","Northbound","false","22","Motor Vehicle In Motion","7","Turning Left","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","7","Turning Left","0","None","YV4062PN2P1920354","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Avon","CT","","06001","","false","Farmington Motor Sports","false","false","Deercliff Road","false","CT","false","false","1","GECIO Secure Insurance Company","","","","","","","","","","","","","","","","","","","","2026-07-19","","","",""
"1360044","2","1","Vehicle in Operation","1","Mercedes-benz","2013","2013","E3504m Awd","Black","E","Eastbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","40","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","5","2","Curve Left","2","Uphill","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","WDDHF8JB6DA700174","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Farmington     ","CT","","06032","","false","A-1","false","false","Avon Mountain Road","false","CT","false","false","1","Hanover American","","","","","","","","","","","","","","","","","","","","","","","",""
"1360045","1","1","Vehicle in Operation","1","Ford","","","Explorer","Gray","N","Northbound","false","22","Motor Vehicle In Motion","4","Changing Lanes","0","None","88","Not Applicable","","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","4","Changing Lanes","0","None","1FM5K8AB1LGA07545","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","false","","false","false","Main Street","false","CT","false","false","1","Constitution State Services","","","","","","","","","","","","","","","","","","","","","","","",""
"1360045","2","1","Vehicle in Operation","1","NISS","","","","SIL","N","Northbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","5N1AZ2MHXGN168243","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bloomfield","CT","","06002","","false","","false","false","Main Street","false","FL","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","","","","",""
"1360046","1","1","Vehicle in Operation","1","Honda","2008","2008","Civic EX","Gray","E","Eastbound","false","22","Motor Vehicle In Motion","10","Entering Traffic Lane","0","None","88","Not Applicable","88","3","Not Towed","2","Two-Way, Not Divided, With a Continuous Left Turn Lane","3","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","10","Entering Traffic Lane","0","None","2HGFA16898H300686","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Hartford","CT","","06108","","false","","false","false","Forbes Street","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360046","2","1","Vehicle in Operation","2","Dodge","2001","2001","Durango","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","88","3","Not Towed","2","Two-Way, Not Divided, With a Continuous Left Turn Lane","3","1","Straight","1","Level","4","Sector 4 (SouthEast) in the 12-point Clock Diagram","3","Functional Damage","2","(Sport) Utility Vehicle","1","Straight Ahead","0","None","1B4HS28N91F612959","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Stafford Sprngs","CT","","06076","","false","","false","false","Forbes Street","false","CT","false","false","1","New South Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360047","1","1","Vehicle in Operation","1","Honda","2012","2012","Accord Ex-l","Red","","","true","22","Motor Vehicle In Motion","10","Entering Traffic Lane","0","None","88","Not Applicable","","1","Towed Due to Disabling Damage","88","Not Applicable","3","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","10","Entering Traffic Lane","0","None","1HGCP2F82CA044535","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Hartford","CT","","06105","","false","Governors","false","false","Park Ave","false","CT","false","false","1","ALLSTATE NORTH AMERICAN INSURANCE COMPANY","","","","","","","","","","","","","","","","","","","","","","","",""
"1360047","2","1","Vehicle in Operation","1","Acura","2015","2015","Tlx","White","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","","3","Not Towed","1","Two-Way, Not Divided","3","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","19UUB1F39FA022053","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Hartford","CT","UnitedStates","06108","","false","","false","false","Park Ave","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360061","1","1","Vehicle in Operation","1","Ford","2011","2011","Fusion S","Red","W","Westbound","false","23","Parked Vehicle","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","3FAHP0GAXBR170453","1","No Control Device","88","Not Applicable","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bloomfield","CT","UnitedStates","06002","","false","","false","false","Darby Street","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360061","2","2","Parked Vehicle","1","Nissan","2012","2012","Versa S/sv/sl","Blue","W","Westbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","12","Parked","0","None","3N1CN7AP9CL825791","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bloomfield","CT","UnitedStates","06002","","false","","false","false","Darby Street","false","CT","false","false","1","Progressive Direct Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360069","1","1","Vehicle in Operation","1","Ford","2023","2023","F250 Super Duty","White","W","Westbound","false","22","Motor Vehicle In Motion","8","Making U-Turn","0","None","88","Not Applicable","1","3","Not Towed","4","Two-Way, Divided, Positive Median Barrier","6","1","Straight","1","Level","9","Sector 9 (West) in the 12-point Clock Diagram","3","Functional Damage","5","Pick Up","8","Making U-Turn","0","None","1FT7W2BT4PED35212","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Stamford","CT","","06907","","false","","false","false","Pleasant Valley Rd","false","CT","false","false","1","ZURICH AMERICAN","","","","","","","","","","","","","","","","","","","","","","","",""
"1360069","2","1","Vehicle in Operation","1","KIA","2012","2012","Sportage Lx","Gray","W","Westbound","false","22","Motor Vehicle In Motion","7","Turning Left","0","None","88","Not Applicable","1","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","6","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","7","Turning Left","0","None","KNDPBCA20C7201466","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Portland","CT","","06480","","false","230 MIDDLE TPKE W","false","false","Pleasant Valley Rd","false","CT","false","false","1","Farmers Property and Casualty Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360071","1","1","Vehicle in Operation","1","Acura","2008","2008","Tl Type-s","White","N","Northbound","false","23","Parked Vehicle","7","Turning Left","0","None","88","Not Applicable","1","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","5","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","7","Turning Left","0","None","19UUA755X8A009033","3","Traffic Control Signal","2","Yes","23","Parked Vehicle","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Windsor","CT","","06095","","false","Center Motors","false","false","Entrance to 1339 Tolland Tpke","false","CT","false","false","1","GEICO Indemnity Company","","","","","","","","","","","","","","","","","","","","","","","",""
"1360071","2","2","Parked Vehicle","0","FORD","","","EXPLORER","Blue","N","Northbound","false","22","Motor Vehicle In Motion","12","Parked","0","None","88","Not Applicable","1","1","Towed Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","4","1","Straight","1","Level","7","Sector 7 (South by SouthWest) in the 12-point Clock Diagram","4","Disabling Damage","2","(Sport) Utility Vehicle","12","Parked","0","None","1FM5K8B80GGB54674","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","MANCHESTER","CT","","","","false","Jay's Auto","false","false","1339 Tolland Tpke Entrance","false","CT","false","false","1","Cirma","","","","","","","","","","","","","","","","","","","","","","","",""
"1360072","1","1","Vehicle in Operation","1","Chrysler","2017","2017","Pacifica Touring","Black","S","Southbound","false","22","Motor Vehicle In Motion","6","Turning Right","0","None","88","Not Applicable","35","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","4","Downhill","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","2","Minor Damage","3","Passenger Van","6","Turning Right","0","None","2C4RC1DG0HR725773","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Manchester","CT","","06040","","false","","false","false","Union St","false","CT","false","false","1","Progressive Casualty Insurance","","","","","","","","","","","","","","","","","","","","","","","",""
"1360072","2","1","Vehicle in Operation","2","Toyota","2022","2022","Corolla LE","White","N","Northbound","false","22","Motor Vehicle In Motion","13","Stopped in Traffic","0","None","88","Not Applicable","30","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","2","Uphill","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","13","Stopped in Traffic","0","None","JTDEAMDE0NJ051578","6","Stop Sign","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Manchester","CT","","06042","","false","","false","false","Union St","false","CT","false","false","1","THE STANDARD FIRE INSURANCE COMPANY","","","","","","","","","","","","","","","","","","","","","","","",""
"1360073","1","1","Vehicle in Operation","1","Toyota","2008","2008","Prius","White","W","Westbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","35","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","JTDKB20U787707729","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Newington","CT","","06111","","false","","false","false","West Middle Tpke","false","CT","false","false","1","GEICO General Insurance Company","","","","","","","","","","","","","","","","","","","","","","","",""
